file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,178,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,23
style.css,179,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,65
style.css,180,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,181,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,182,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,183,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,65
style.css,184,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,43
style.css,185,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,35
style.css,186,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,9
style.css,187,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,11
style.css,188,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,189,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,190,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,40
style.css,191,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,12
style.css,192,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,22
style.css,193,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,194,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,195,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,7
style.css,196,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,6
style.css,197,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,198,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,15
style.css,199,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,8
style.css,200,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,21
style.css,201,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,12
style.css,202,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,57
style.css,203,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,16
style.css,204,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,41
style.css,205,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,20
style.css,206,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,62
style.css,207,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,208,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,209,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,13
style.css,210,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,12
style.css,211,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,18
style.css,212,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,10
style.css,213,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,214,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,8
style.css,215,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,216,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,217,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,21
style.css,218,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,13
style.css,219,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,12
style.css,220,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,18
style.css,221,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,17
style.css,222,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,29
style.css,223,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,20
style.css,224,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,225,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,226,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,23
style.css,227,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,38
style.css,228,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,9
style.css,229,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,11
